,langname,glottocode,word,count,id,year,simple_elaboration,regression_elaboration,dictsize_data,countryname,bila_language_name_mapping,response_mean,response_std,dictionary_count_mean
428,Marathi,mara1378,pleasure,49.0,mdp.39015055371309,1965.0,0.0012433392539964,3.795451549800496,39410.0,India,Marathi,3.4545454545454546,1.9419175500117842,7.536813922356091
429,Marathi,mara1378,regret,21.0,mdp.39015055371309,1965.0,0.0005328596802841,3.606244908301896,39410.0,India,Marathi,1.2545454545454546,1.7236715960541236,7.536813922356091
430,Marathi,mara1378,relief,13.0,mdp.39015055371309,1965.0,0.0003298655163664,1.3684602377690305,39410.0,India,Marathi,1.8035714285714286,1.8332251050305537,7.536813922356091
431,Marathi,mara1378,sadness,11.0,mdp.39015055371309,1965.0,0.0002791169753869,2.9772763987901847,39410.0,India,Marathi,2.381818181818182,2.0229324981956003,7.536813922356091
432,Persian,west2369,admiration,7.0,mdp.49015002913532,1986.0,0.0001047418114348,-0.082627521809031,66831.0,Iran,Persian,2.347826086956522,1.7457820056121074,9.822310405643739
433,Persian,west2369,anger,43.0,mdp.49015002913532,1986.0,0.0006434139845281,-0.4006625222427605,66831.0,Iran,Persian,3.1837837837837837,1.870467494678442,9.822310405643739
434,Persian,west2369,anxiety,22.0,mdp.49015002913532,1986.0,0.0003291885502236,1.4668474906047562,66831.0,Iran,Persian,3.5376344086021505,1.8862755511350005,9.822310405643739
435,Persian,west2369,boredom,2.0,mdp.49015002913532,1986.0,2.9926231838518053e-05,-0.1591506072343356,66831.0,Iran,Persian,3.661290322580645,2.0076358159066716,9.822310405643739
436,Persian,west2369,compassion,16.0,mdp.49015002913532,1986.0,0.0002394098547081,1.698901049309366,66831.0,Iran,Persian,3.770053475935829,1.7056394434649562,9.822310405643739
437,Persian,west2369,confusion,14.0,mdp.49015002913532,1986.0,0.0002094836228696,-2.045255115374249,66831.0,Iran,Persian,3.5401069518716577,1.9598787512707503,9.822310405643739
438,Persian,west2369,determination,3.0,mdp.49015002913532,1986.0,4.488934775777708e-05,-1.6197185246801038,66831.0,Iran,Persian,3.2903225806451615,1.6012201102050887,9.822310405643739
439,Persian,west2369,disgust,7.0,mdp.49015002913532,1986.0,0.0001047418114348,-1.1513788473082514,66831.0,Iran,Persian,3.0806451612903225,2.0714146133586873,9.822310405643739
440,Persian,west2369,fear,54.0,mdp.49015002913532,1986.0,0.0008080082596399,-0.8620477378108496,66831.0,Iran,Persian,2.972972972972973,1.9292723127838303,9.822310405643739
441,Persian,west2369,frustration,1.0,mdp.49015002913532,1986.0,1.4963115919259028e-05,-0.7018817802129197,66831.0,Iran,Persian,3.0054054054054054,1.9181549595597491,9.822310405643739
442,Persian,west2369,gratitude,16.0,mdp.49015002913532,1986.0,0.0002394098547081,3.0220562210284427,66831.0,Iran,Persian,3.150537634408602,1.928148455421305,9.822310405643739
443,Persian,west2369,hope,5.0,mdp.49015002913532,1986.0,7.481557959629513e-05,-1.0793269434824198,66831.0,Iran,Persian,3.0486486486486486,1.8006070265121128,9.822310405643739
444,Persian,west2369,loneliness,3.0,mdp.49015002913532,1986.0,4.488934775777708e-05,0.0020463147764029,66831.0,Iran,Persian,2.9408602150537635,2.0326383631845797,9.822310405643739
445,Persian,west2369,love,89.0,mdp.49015002913532,1986.0,0.001331717316814,0.1080393650031438,66831.0,Iran,Persian,2.983957219251337,2.0066447034544765,9.822310405643739
446,Persian,west2369,pleasure,50.0,mdp.49015002913532,1986.0,0.0007481557959629,0.7184873194430904,66831.0,Iran,Persian,3.467391304347826,1.7079120730654955,9.822310405643739
447,Persian,west2369,regret,24.0,mdp.49015002913532,1986.0,0.0003591147820622,2.2039138817222907,66831.0,Iran,Persian,2.6594594594594594,1.999382983553581,9.822310405643739
